series_id,method,serial_number,hardness_scale_raw,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n_positions,excel_rows,picture_ids,manual_dimension_mean_from_individual_um,manual_dimension_sd_from_individual_um,manual_hardness_mean_from_individual,manual_hardness_sd_from_individual,manual_series_mean_dimension_um,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_dimension_mean_from_individual_um,automatic_dimension_sd_from_individual_um,automatic_hardness_mean_from_individual,automatic_hardness_sd_from_individual,automatic_series_mean_dimension_um,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,manual_standard_uncertainty,automatic_standard_uncertainty,en_numerator,en_denominator,en,abs_en,en_classification
Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell,290-736,HBW 1/30,HBW 1/30,1,294.3,1.0,20X,3,"18,19,20",,254.9415,0.35074599071122775,578.167,1.6160284650958223,254.9415,578.167,11.642295291256746,2.013656139360556,255.40533333333335,0.971739719952479,576.049,4.445209893807049,255.40533333333335,576.049,14.058565511297529,2.440515565741374,5.821147645628373,7.029282755648764,-2.118000000000052,18.253391572095946,-0.11603323095516394,0.11603323095516394,satisfactory screening result
Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,290-736,HBW 1/5,HBW 1/5,1,49.05,1.0,20X,3,"9,10,11",600_HBW_1_5_1_20X,116.99216666666666,1.9328975873887742,463.921,15.163460983561768,116.99216666666666,463.921,19.677498808151952,4.241562422945276,117.92666666666666,1.8837035550567203,456.55733333333336,14.505207352303977,117.92666666666666,456.55733333333336,19.07498307631822,4.17800387457396,9.838749404075976,9.53749153815911,-7.3636666666666315,27.405454542967316,-0.26869346958364054,0.26869346958364054,satisfactory screening result
Brinell|SN=293-250|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell,293-250,HBW 1/30,HBW 1/30,1,294.3,1.0,20X,3,"12,13,14",,464.74,0.40472614197752554,166.77533333333335,0.3093870283856983,464.74,166.77533333333335,2.7302658352933666,1.6370921171156605,466.62000000000006,0.9328043739177178,165.34866666666665,0.7032740101363968,466.62000000000006,165.34866666666665,3.4345943386569098,2.077182966089986,1.3651329176466833,1.7172971693284549,-1.426666666666705,4.387572199121546,-0.3251608411030464,0.3251608411030464,satisfactory screening result
Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,293-250,HBW 1/5,HBW 1/5,1,49.05,1.0,20X,3,"3,4,5",100_HBW_1_5_1_20X,210.4625,1.1730256817308,142.16833333333332,1.609663732999328,210.4625,142.16833333333332,3.9648853905631243,2.7888667592852077,211.88283333333334,0.7057716226466832,140.24099999999999,0.9475383897236066,211.88283333333334,140.24099999999999,3.34986203153742,2.388646709262926,1.9824426952815621,1.67493101576871,-1.927333333333337,5.190557945985856,-0.3713152523080587,0.3713152523080587,satisfactory screening result
Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell,294-367,HBW 1/30,HBW 1/30,1,294.3,1.0,20X,3,"15,16,17",,350.66450000000003,1.1463851883202432,300.87166666666667,2.030580294726945,350.66450000000003,300.87166666666667,7.3021997235090135,2.4270147483176148,351.11016666666666,1.2352984794507564,300.084,2.1780994008538856,351.11016666666666,300.084,7.579389596440279,2.525755987137028,3.6510998617545067,3.7896947982201397,-0.7876666666666665,10.524697974604415,-0.07483983564823123,0.07483983564823123,satisfactory screening result
Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,294-367,HBW 1/5,HBW 1/5,1,49.05,1.0,20X,3,"6,7,8",300_HBW_1_5_1_20X,154.5825,0.1855943156457201,264.8983333333333,0.6401424320675329,154.5825,264.8983333333333,6.803108965253398,2.568196213108198,155.18566666666666,0.38871336912091853,262.832,1.3271363908807494,155.18566666666666,262.832,6.871872918908403,2.6145495673694237,3.401554482626699,3.4359364594542017,-2.0663333333333185,9.66979467241874,-0.21368947359628465,0.21368947359628465,satisfactory screening result
Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell,810-202,HBW 10/3000,HBW 10/3000,10,29430.0,10.0,20X,3,"33,34,35",,3804.916833333333,3.0005670019737165,253.99800000000002,0.4174254424445233,3804.916833333333,253.99800000000002,11.926236783711307,4.695405784183854,3823.7331666666664,15.64607171411823,251.41100000000003,2.13856400418599,3823.7331666666664,251.41100000000003,60.015539848915544,23.871485276664718,5.963118391855653,30.007769924457772,-2.586999999999989,61.18905251086928,-0.04227880468553503,0.04227880468553503,satisfactory screening result
Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell,810-202,HBW 10/500,HBW 10/500,10,4905.0,10.0,20X,3,"24,25,26",,1686.2058333333334,1.1722131134454876,222.36933333333332,0.3113347608818156,1686.2058333333334,222.36933333333332,4.715693898477116,2.120658378468156,1710.5186666666668,10.571080885289499,216.06366666666668,2.697954101413384,1710.5186666666668,216.06366666666668,34.90031392758344,16.15279165905579,2.357846949238558,17.45015696379172,-6.305666666666639,35.21746273069667,-0.17904943109857877,0.17904943109857877,satisfactory screening result
Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell,812-006,HBW 10/3000,HBW 10/3000,10,29430.0,10.0,20X,3,"30,31,32",,4840.787333333334,9.340456979362795,152.86766666666665,0.6313654514885508,4840.787333333334,152.86766666666665,21.82247883422602,14.275405198543853,4861.090999999999,16.80251923819716,151.50533333333334,1.12003854100354,4861.090999999999,151.50533333333334,38.83379946085795,25.63196859573125,10.91123941711301,19.416899730428977,-1.3623333333333107,44.54530910248995,-0.030583093052488446,0.030583093052488446,satisfactory screening result
Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell,812-006,HBW 10/500,HBW 10/500,10,4905.0,10.0,20X,3,"21,22,23",,2203.133666666667,4.494990804588354,129.58966666666666,0.5346347662968891,2203.133666666667,129.58966666666666,8.994107355701107,6.940451030587141,2234.308,5.537475485272808,125.95400000000001,0.6338035973391166,2234.308,125.95400000000001,10.7219429859514,8.512586329891388,4.497053677850554,5.3609714929757,-3.6356666666666513,13.994785761842488,-0.2597872327977671,0.2597872327977671,satisfactory screening result
