method,model,status,n,intercept,slope,intercept_sd,slope_sd,residual_variance
Brinell,weighted_odr,run,12,-1.441029066990416,0.9980431896672551,0.7676446429148469,0.0036662281305816498,0.0473367840112679
Micro-Vickers,weighted_odr,run,18,-1.0026325836464474,1.0069665333420863,0.517977966802621,0.003023049555741929,0.6862987592376368
Vickers,weighted_odr,run,20,-0.9198886967687332,1.0024484567273528,0.39985000066840326,0.0010455038774969906,0.05704812401195683
