series_id,method,source,serial_number,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n,mean_dimension_um,sd_dimension_um,cv_percent,range_dimension_um,mean_d1_minus_d2_um,mean_abs_d1_minus_d2_um
Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell,manual,8301-50DW,HBW 10/3000,10,29430.0,10.0,20X,3,2649.166333333333,6.418227682415943,0.2422734881407073,11.27849999999944,-5.0673333333334085,5.0673333333334085
Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell,automatic,8301-50DW,HBW 10/3000,10,29430.0,10.0,20X,3,2655.991833333333,7.5571527431523995,0.284532228160807,15.015000000000327,-1.8683333333331877,10.914333333333161
Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell,manual,8301-50DW,HBW 10/500,10,4905.0,10.0,10X,3,1204.3738333333333,1.33009833596361,0.11043899320548257,2.443499999999858,1.1236666666666981,1.1236666666666981
Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell,automatic,8301-50DW,HBW 10/500,10,4905.0,10.0,10X,3,1239.9103333333335,21.39485866588835,1.7255166031539657,39.87400000000025,23.276666666666642,40.62999999999996
Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,manual,706-437,HV 0.5,0.5,4.905,,50X,3,53.95683333333333,0.19602061966367854,0.3632915565164966,0.37999999999999545,0.09033333333332887,0.09033333333332887
Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,automatic,706-437,HV 0.5,0.5,4.905,,50X,3,54.00133333333334,0.2255157052919696,0.41761136507488,0.4140000000000015,-0.32200000000000034,0.3513333333333364
Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,manual,706-437,HV 1,1,9.81,,50X,3,76.676,1.031269727084048,1.344970691068976,2.061000000000007,0.023333333333335798,1.0146666666666657
Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,automatic,706-437,HV 1,1,9.81,,50X,3,76.3145,1.1524466365086135,1.5101280051741326,2.2975000000000136,-0.47100000000000364,1.2443333333333253
Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,manual,706-437,HV 2,2,19.62,,20X,3,108.05383333333333,0.47771234371045374,0.4421058735017457,0.9415000000000049,-0.37366666666666504,0.37366666666666504
Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,automatic,706-437,HV 2,2,19.62,,20X,3,108.08016666666667,0.4751016557888797,0.4395826454026067,0.897500000000008,-0.4856666666666645,0.4856666666666645
Micro-Vickers|SN=709-293|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,manual,709-293,HV 0.5,0.5,4.905,,50X,3,30.72733333333333,0.10140307358918339,0.3300093518990152,0.1905000000000001,-0.10933333333333313,0.3186666666666665
