method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,ball_diameter_mm,applied_force_n,magnification_raw,manual_d1_um,manual_d2_um,manual_mean_dimension_um,manual_series_mean_dimension_um,manual_hardness,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_d1_um,automatic_d2_um,automatic_mean_dimension_um,automatic_series_mean_dimension_um,automatic_hardness,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,picture_id,magnification,hardness_scale,hardness_level,series_id,record_id
Brinell,Brinell,16,294-367,HBW 1/30,2.0,1.0,294.3,20x,350.291,350.468,350.3795,,301.371,,,,350.619,350.478,350.5485,,301.072,,,,,20X,HBW 1/30,1,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|294-367|HBW 1/30|2|row16
Brinell,Brinell,17,294-367,HBW 1/30,3.0,1.0,294.3,20x,349.477,349.898,349.6875,,302.606,,,,349.884,350.627,350.2555,,301.593,,,,,20X,HBW 1/30,1,Brinell|SN=294-367|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|294-367|HBW 1/30|3|row17
Brinell,Brinell,18,290-736,HBW 1/30,1.0,1.0,294.3,20x,254.522,254.952,254.737,254.9415,579.109,578.167,11.642295291256746,2.013656139360556,257.941,255.113,256.527,255.40533333333335,570.918,576.049,14.058565511297529,2.440515565741374,,20X,HBW 1/30,1,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/30|1|row18
Brinell,Brinell,19,290-736,HBW 1/30,2.0,1.0,294.3,20x,254.446,255.036,254.74099999999999,,579.091,,,,254.616,255.125,254.8705,,578.494,,,,,20X,HBW 1/30,1,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/30|2|row19
Brinell,Brinell,20,290-736,HBW 1/30,3.0,1.0,294.3,20x,255.452,255.241,255.3465,,576.301,,,,254.809,254.828,254.8185,,578.735,,,,,20X,HBW 1/30,1,Brinell|SN=290-736|scale=HBW 1/30|F=294.3N|ball=1mm|mag=20X,Brinell|290-736|HBW 1/30|3|row20
Brinell,Brinell,21,812-006,HBW 10/500,1.0,10.0,4905.0,20x,2201.248,2201.576,2201.4120000000003,2203.133666666667,129.794,129.58966666666666,8.994107355701107,6.940451030587141,2231.69,2244.673,2238.1814999999997,2234.308,125.511,125.95400000000001,10.7219429859514,8.512586329891388,,20X,HBW 10/500,10,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/500|1|row21
Brinell,Brinell,22,812-006,HBW 10/500,2.0,10.0,4905.0,20x,2208.315,2208.155,2208.235,,128.983,,,,2239.174,2216.757,2227.9655000000002,,126.68,,,,,20X,HBW 10/500,10,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/500|2|row22
Brinell,Brinell,23,812-006,HBW 10/500,3.0,10.0,4905.0,20x,2199.922,2199.586,2199.754,,129.992,,,,2231.057,2242.497,2236.777,,125.671,,,,,20X,HBW 10/500,10,Brinell|SN=812-006|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/500|3|row23
Brinell,Brinell,24,810-202,HBW 10/500,1.0,10.0,4905.0,20x,1687.008,1687.041,1687.0245,1686.2058333333334,222.152,222.36933333333332,4.715693898477116,2.120658378468156,1710.994,1714.631,1712.8125,1710.5186666666668,215.464,216.06366666666668,34.90031392758344,16.15279165905579,,20X,HBW 10/500,10,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/500|1|row24
Brinell,Brinell,25,810-202,HBW 10/500,2.0,10.0,4905.0,20x,1684.493,1685.233,1684.8629999999998,,222.726,,,,1677.755,1720.223,1698.989,,219.011,,,,,20X,HBW 10/500,10,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/500|2|row25
Brinell,Brinell,26,810-202,HBW 10/500,3.0,10.0,4905.0,20x,1687.056,1686.404,1686.73,,222.23,,,,1729.945,1709.564,1719.7545,,213.716,,,,,20X,HBW 10/500,10,Brinell|SN=810-202|scale=HBW 10/500|F=4905N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/500|3|row26
Brinell,Brinell,27,8301-50DW,HBW 10/500,1.0,10.0,4905.0,10x,1206.303,1204.281,1205.292,1204.3738333333333,436.763,437.43266666666665,10.303720231250193,2.3554985753045865,1265.915,1195.979,1230.9470000000001,1239.9103333333335,418.681,412.87000000000006,134.7276550532463,32.63197981283365,,10X,HBW 10/500,10,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell|8301-50DW|HBW 10/500|1|row27
Brinell,Brinell,28,8301-50DW,HBW 10/500,2.0,10.0,4905.0,10x,1203.107,1202.59,1202.8485,,438.546,,,,1251.314,1277.344,1264.3290000000002,,396.78,,,,,10X,HBW 10/500,10,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell|8301-50DW|HBW 10/500|2|row28
Brinell,Brinell,29,8301-50DW,HBW 10/500,3.0,10.0,4905.0,10x,1205.397,1204.565,1204.981,,436.989,,,,1237.417,1211.493,1224.455,,423.149,,,,,10X,HBW 10/500,10,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell|8301-50DW|HBW 10/500|3|row29
Brinell,Brinell,30,812-006,HBW 10/3000,1.0,10.0,29430.0,20x,4832.528,4831.871,4832.199500000001,4840.787333333334,153.449,152.86766666666665,21.82247883422602,14.275405198543853,4861.851,4842.237,4852.044,4861.090999999999,152.108,151.50533333333334,38.83379946085795,25.63196859573125,,20X,HBW 10/3000,10,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/3000|1|row30
Brinell,Brinell,31,812-006,HBW 10/3000,2.0,10.0,29430.0,20x,4847.967,4853.497,4850.732,,152.196,,,,4868.731,4892.226,4880.478499999999,,150.213,,,,,20X,HBW 10/3000,10,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/3000|2|row31
Brinell,Brinell,32,812-006,HBW 10/3000,3.0,10.0,29430.0,20x,4834.603,4844.258,4839.4305,,152.958,,,,4845.574,4855.927,4850.7505,,152.195,,,,,20X,HBW 10/3000,10,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|812-006|HBW 10/3000|3|row32
Brinell,Brinell,33,810-202,HBW 10/3000,1.0,10.0,29430.0,20x,3807.15,3805.587,3806.3685,3804.916833333333,253.796,253.99800000000002,11.926236783711307,4.695405784183854,3809.201,3832.075,3820.638,3823.7331666666664,251.827,251.41100000000003,60.015539848915544,23.871485276664718,,20X,HBW 10/3000,10,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/3000|1|row33
Brinell,Brinell,34,810-202,HBW 10/3000,2.0,10.0,29430.0,20x,3800.624,3802.309,3801.4665,,254.478,,,,3838.127,3843.264,3840.6955,,249.095,,,,,20X,HBW 10/3000,10,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/3000|2|row34
Brinell,Brinell,35,810-202,HBW 10/3000,3.0,10.0,29430.0,20x,3807.1,3806.731,3806.9155,,253.72,,,,3809.927,3809.805,3809.866,,253.311,,,,,20X,HBW 10/3000,10,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|810-202|HBW 10/3000|3|row35
Brinell,Brinell,36,8301-50DW,HBW 10/3000,1.0,10.0,29430.0,20x,2655.324,2657.826,2656.575,2649.166333333333,531.68,534.7196666666666,52.634039572449204,9.843296002288279,2657.666,2668.334,2663.0,2655.991833333333,529.069,531.9259999999999,61.54458207952355,11.570139846430436,,20X,HBW 10/3000,10,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|8301-50DW|HBW 10/3000|1|row36
Brinell,Brinell,37,8301-50DW,HBW 10/3000,2.0,10.0,29430.0,20x,2642.302,2648.291,2645.2965000000004,,536.308,,,,2663.775,2650.206,2656.9905,,531.51,,,,,20X,HBW 10/3000,10,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|8301-50DW|HBW 10/3000|2|row37
Brinell,Brinell,38,8301-50DW,HBW 10/3000,3.0,10.0,29430.0,20x,2642.272,2648.983,2645.6275,,536.171,,,,2643.732,2652.238,2647.9849999999997,,535.199,,,,,20X,HBW 10/3000,10,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell|8301-50DW|HBW 10/3000|3|row38
