method,n,mean_difference,median_difference,sd_difference,mad_difference,iqr_difference,rmse,mae,symmetric_mean_relative_difference_percent,bias_ci_low,bias_ci_high,cohens_dz,paired_t_p,wilcoxon_p
Brinell,36,11.893055555555472,2.485999999999791,15.269582700246968,3.4644655499996975,18.889249999999908,19.186668686660113,11.922388888888806,0.789323059548645,6.726572072081198,17.059539039029747,0.7788723365284315,4.2872862598438925e-05,2.0372681319713593e-10
Micro-Vickers,54,-0.05662037037037019,0.012000000000000455,0.27813433253683234,0.1875489000000027,0.30137499999999395,0.28130411413562645,0.20510185185185195,-0.12485621719717778,-0.13253642939038687,0.0192956886496465,-0.2035720288608101,0.14059995155983487,0.48823063277400136
Vickers,60,-0.025958333333327963,-0.0014999999999929514,0.3670218819004993,0.3799162499999916,0.5029999999999788,0.36487506423431904,0.30097499999999755,-0.02903561871802584,-0.12077013907725404,0.06885347241059811,-0.07072693649466204,0.5858627247776985,0.6855597181184911
