record_id,series_id,method,picture_id,magnification,image_status,classification_reason,edge_strength,diagonal_ratio,corner_radius_cv,min_corner_angle_deg,circularity,ellipse_axis_ratio,radial_cv,diameter_direction_range_4_um,python_minus_manual_relative_percent,python_minus_automatic_relative_percent
Micro-Vickers|711-246|HV 1|1|row33,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,29.732135772705078,1.0602271146524311,0.04361854407778579,50.424638096548094,0.07473876875328923,,,,35.39206298813371,35.359460950264406
Micro-Vickers|711-246|HV 1|3|row35,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_3_50X,50X,rejected,all configured image checks passed; excessive agreement difference,90.24411010742188,1.3795354741989236,0.11866873008089444,45.76853869117409,0.11133646577403825,,,,10.427070946780848,10.615633217533821
Micro-Vickers|710-106|HV 1|1|row36,Micro-Vickers|SN=710-106|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,710-106_708_HMV_1_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,50.9215087890625,1.111224213118306,0.07933117682450323,50.017670432831714,0.16435540347048475,,,,12.394476623603923,13.109570124898006
Micro-Vickers|709-293|HV 1|1|row39,Micro-Vickers|SN=709-293|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,709-293_904_HMV_1_1_50X,50X,conditionally reliable,all configured image checks passed; elevated agreement difference,26.68332862854004,1.0043939683135599,0.055336672086439324,80.01141674614128,0.5422538286084831,,,,0.4639294599739867,2.2761243248100866
Micro-Vickers|711-081|HV 2|1|row42,Micro-Vickers|SN=711-081|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,711-081_102_HMV_2_1_20X,20X,rejected,No suitable indentation contour detected,,,,,,,,,,
Micro-Vickers|706-437|HV 2|1|row45,Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,706-437_307_HMV_2_1_50X,20X,rejected,all configured image checks passed; excessive agreement difference,69.065185546875,1.0312810046460856,0.17614102581934457,58.467414730282016,0.2995496446465295,,,,-151.81156521924734,-151.8301006904448
Micro-Vickers|711-246|HV 2|1|row48,Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,711-246_502_HMV_2_1_50X,50X,rejected,opposite-corner consistency failed; unstable radial corner geometry; excessive agreement difference,78.52384185791016,4.008574500729281,0.5946575401997855,55.861556826616976,0.23705016948949448,,,,-164.1074913360348,-164.0653828793189
Micro-Vickers|710-106|HV 2|1|row51,Micro-Vickers|SN=710-106|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,710-106_708_HMV_2_1_50X,50X,rejected,all configured image checks passed; excessive agreement difference,49.33558654785156,1.0175260408115434,0.07805518187280987,51.988799603459086,0.13215962718077276,,,,6.49918555136856,6.55775483988564
Micro-Vickers|709-293|HV 2|1|row54,Micro-Vickers|SN=709-293|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,709-293_904_HMV_2_1_50X,50X,conditionally reliable,all configured image checks passed; elevated agreement difference,30.5941162109375,1.0062791008531604,0.11441325437832674,72.68685455801017,0.42071921878843616,,,,2.603719116049433,2.466385538301349
Brinell|293-250|HBW 1/5|1|row3,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,100_HBW_1_5_1_20X,20X,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,,,,,0.780110538681347,1.2033294226745415,0.12343622976055561,118.01420080823601,12.071231380414776,11.419077994035863
Brinell|294-367|HBW 1/5|1|row6,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,300_HBW_1_5_1_20X,20X,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,,,,,0.780110538681347,1.2033294226745415,0.12343622976055561,118.01420080823601,42.49135518939886,41.94021926142234
Brinell|290-736|HBW 1/5|1|row9,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,600_HBW_1_5_1_20X,20X,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,,,,,0.780110538681347,1.2033294226745415,0.12343622976055561,118.01420080823601,68.99247778796682,67.88758629922427
